iter	RMSE
0	51.20410964
1	49.28135915
2	47.48413104
3	45.75857545
4	44.05421454
5	42.40828332
6	40.96307226
7	39.53092874
8	38.16910603
9	36.79445903
10	35.43011324
11	34.13264106
12	32.92378445
13	31.7460482
14	30.60661956
15	29.47625533
16	28.41279751
17	27.37027257
18	26.43692308
19	25.53145769
20	24.64071159
21	23.80067928
22	22.97104102
23	22.20637723
24	21.46210148
25	20.78001838
26	20.0783989
27	19.43463369
28	18.80538167
29	18.19113838
30	17.62223071
31	17.05003582
32	16.5303966
33	16.01371978
34	15.54726523
35	15.07926969
36	14.61395464
37	14.17105455
38	13.76888944
39	13.36545827
40	12.99390283
41	12.61937056
42	12.2885997
43	11.94896623
44	11.61425364
45	11.311758
46	11.01802066
47	10.7513899
48	10.48162303
49	10.23777614
50	10.00807567
51	9.789668039
52	9.582736963
53	9.396097815
54	9.205298711
55	9.022629067
56	8.855196658
57	8.701118011
58	8.544439515
59	8.386786497
60	8.239148504
61	8.101281614
62	7.973569048
63	7.856214351
64	7.740489335
65	7.620583224
66	7.517417229
67	7.418216897
68	7.322973347
69	7.233806127
70	7.142824578
71	7.066702527
72	6.990189767
73	6.919243834
74	6.851126725
75	6.783112119
76	6.725762669
77	6.670083952
78	6.61447421
79	6.562700619
80	6.517754397
81	6.472134834
82	6.429638064
83	6.384113513
84	6.343687302
85	6.306020188
86	6.273587015
87	6.241353897
88	6.208411206
89	6.176966925
90	6.147390268
91	6.114604174
92	6.086493331
93	6.05772683
94	6.029141544
95	6.000192863
96	5.979499967
97	5.954524766
98	5.933492572
99	5.915267192
100	5.891541479
101	5.872267374
102	5.855745725
103	5.838207837
104	5.823573176
105	5.802569082
106	5.790420585
107	5.771755052
108	5.759593816
109	5.739747749
110	5.725433406
111	5.713549271
112	5.701380015
113	5.688955783
114	5.676383567
115	5.667899296
116	5.65285519
117	5.637835379
118	5.620852145
119	5.61293191
120	5.603388959
121	5.593975779
122	5.583817112
123	5.573462773
124	5.562838952
125	5.552770923
126	5.54191777
127	5.531621773
128	5.522574449
129	5.511972359
130	5.505418869
131	5.495978205
132	5.485373832
